Entidad,Fecha y Hora de Publicacion,Nomenclatura,Objeto de Contratacion,Descripcion del Objeto ,Valor Referencial,Moneda,Fecha Fin Formulación de consultas y observaciones(Electronica),Absolución de consultas y observaciones(Electronica),Integración de las Bases,Fecha Presentacion de Propuesta,Fecha de Buena Pro,Estado,Fideicomiso,Ruc,Razon Social,Tipo de Formulario,Telefono,Email,Ola
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20610309462,CHINA MACHINERY ENGINEERING CORPORATION SUCURSAL PERU,Consulta/Observación,924161031,gsalas@cmec.com.pe,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20602371442,CHINA GEZHOUBA GROUP COMPANY LIMITED SUCURSAL PERU,Observación/Consulta,(01) 743 9022,desarrollodemercados@cggcperu.com,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20109565017,CONSTRUCCION Y ADMINISTRACION S.A.,Consulta,6113939-947524354,casa@casacontratistas.com,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20100754755,IVC CONTRATISTAS GENERALES S.A.,Consulta/Observación,4378385-987989399,JVERA@ivc.pe,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20557702718,CHINA COMMUNICATIONS CONSTRUCTION COMPANY LTD SUCURSAL DEL PERU,Observación/Consulta,4800963-952398924,sunxiaoliang@ccccltd.cn,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20602384714,ICYS S.A.C.,Consulta,936922376,ryupanqui@jabas.com.pe,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20554399585,CCCC DEL PERU S.A.C.,Consulta,2965366,ccccdelperusac@cccc-peru.com,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20520639579,CORPORACION MUNDIAL DE DESARROLLO E INVERSIONES SOCIEDAD ANONIMA CERRADA-COMUDEIN S.A.C.,Observación,951028156,www.comudein@gmail.com,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20610414878,PERLA NEGRA UNLIMITED S.A.C.,Consulta/Observación,938897112,perlanegra.ult@gmail.com,Enero 2024
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,04/08/2023,LP-SM-7-2023-PASLC-1,Obra,"EJECUCION DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273, 277, 278, 279, 280, 394 Y 395 ¿ DISTRITO DE VENTANILLA ¿ PROVINCIA DEL CALLAO ¿ REGION CALLAO¿ CUI N°2309659"," $616,232,099.69 ",Soles,18/08/2023,22/12/2023,22/12/2023,10/01/2024,16/01/2024,Convocado,Si,20608547020,2Z INGENIERIA CONSTRUCCION Y SERVICIOS SAC,Observación/Consulta,956480215,2zicssac@gmail.com,Enero 2024
